slat,slon,pdate
42.30801,-70.02542,2017-04-17 16:27:44
43.26145,-70.05508,2017-10-12 13:30:00
43.13327,-69.50334,2016-05-18 13:24:01
42.24027,-69.4539,2016-06-18 17:45:28
42.414849999999994,-70.10043,2016-10-18 17:36:47
42.41437,-70.10188,2017-04-17 18:39:56
43.0978,-70.18243000000001,2017-10-12 17:24:33
42.30227,-70.0911,2016-07-12 15:31:59
42.559200000000004,-70.06779999999999,2016-10-18 20:49:32
42.411970000000004,-70.18314000000001,2017-04-17 20:00:23
42.31483,-70.23645,2016-04-24 22:16:45
42.25415,-69.52195999999999,2016-06-18 19:29:08
42.28504,-70.04789,2016-07-12 16:52:53
42.436710000000005,-70.24135,2017-04-17 21:16:36
43.069979999999994,-70.02496000000001,2016-04-25 09:21:10
42.29508,-69.48604999999999,2016-07-12 19:12:47
42.471199999999996,-70.24508,2017-04-17 22:37:24
43.05245,-69.56987,2016-04-25 10:41:59
43.04484,-70.00401,2016-05-18 15:35:04
42.31547,-69.49823,2016-06-18 21:47:42
42.25898,-69.42241,2016-07-12 20:43:16
43.0897,-70.17999,2016-10-25 18:52:29
42.45652,-70.39643,2017-04-18 10:31:02
43.03269,-69.51198000000001,2016-04-25 12:27:42
42.22831,-69.38119,2016-07-12 22:12:16
42.49592,-70.36194,2017-04-18 12:12:27
41.47909,-70.22949,2017-10-18 14:45:35
43.067730000000005,-70.05508,2016-05-18 19:11:19
42.3885,-69.30295,2016-07-13 09:24:59
43.34679,-69.48947,2016-10-26 18:09:10
42.5347,-70.41181,2017-04-18 15:29:43
41.51215,-70.16338,2017-10-18 16:03:24
42.5736,-70.0459,2016-04-25 15:49:26
42.1441,-70.36946,2016-06-22 16:37:07
42.41428,-69.32396,2016-07-13 10:37:08
43.289350000000006,-69.43355,2016-10-26 19:45:52
42.50526,-70.45161,2017-04-18 16:33:09
41.56656,-70.11203,2017-10-18 17:33:03
43.01572,-70.09162,2016-04-25 17:19:20
42.52525,-70.09834,2016-05-18 22:39:01
42.15264,-70.28059,2016-06-22 18:05:11
42.35396,-69.39011,2016-07-13 12:53:44
43.213370000000005,-69.44962000000001,2016-10-26 21:38:04
42.01683,-70.19046,2017-10-18 19:25:48
43.026019999999995,-70.08718,2016-04-25 18:25:46
42.19405,-70.39430999999999,2016-06-22 20:21:08
42.35232,-69.54404000000001,2016-07-13 15:25:27
43.15848,-69.42638,2016-10-27 11:11:47
42.05824,-70.19694,2017-10-18 20:36:45
